exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
111044.63,0.469158644,5.5,139,1000,0.049818446,0.043798178,1.201541109
111104.67,0.465700937,5.5,139,1000,0.048868527,0.044482759,1.119272123
111164.72,0.489615624,5.5,139,1000,0.047746746,0.044281729,1.213539458
111224.76,0.500379855,5.5,139,1000,0.049620999,0.044551891,1.218103115
111284.84,0.503944607,5.5,139,1000,0.049121379,0.044085106,1.178494468
111344.91,0.511240991,5.5,139,1000,0.047487469,0.044973545,1.162693935
111404.99,0.507433689,5.5,139,1000,0.049289163,0.044523598,1.0821341
111465.06,0.529462131,5.5,139,1000,0.049421806,0.044541927,1.155514211
111525.11,0.536914738,5.5,139,1000,0.048790085,0.044390638,1.139671488
111585.18,0.552537778,5.5,139,1000,0.047627977,0.043956044,1.168735416
111645.23,0.534425794,5.5,139,1000,0.046908442,0.044516129,1.010311883
111705.3,0.549766115,5.5,139,1000,0.048478302,0.044387263,1.044696451
111765.35,0.56730912,5.5,139,1000,0.050256958,0.044177974,1.044696451
111825.4,0.565154703,5.5,139,1000,0.048590164,0.044727891,1.044696451
111885.45,0.487212297,5.5,139,1000,0.051337618,0.044517016,1.044696451
111945.49,0.475495772,5.5,139,1000,0.046917062,0.044291845,1.044696451
112005.54,0.44623039,5.5,139,1000,0.049395459,0.044890162,1.044696451
112065.58,0.466164471,5.5,139,1000,0.049023091,0.045065907,1.044696451
112125.6,0.44989874,5.5,139,1000,0.050666068,0.045043447,1.044696451
112185.67,0.456990993,5.5,139,1000,0.048843367,0.045065177,1.044696451
112245.73,0.47590626,5.5,139,1000,0.04781759,0.045278851,1.044696451
112305.83,0.509464308,5.5,139,1000,0.049143093,0.044974446,1.044696451
112365.88,0.489456656,5.5,139,1000,0.049402823,0.045174538,0.872269967
112425.98,0.500068579,5.5,139,1000,0.048086934,0.045601497,0.893004483
112486.04,0.525555057,5.5,139,1000,0.048026782,0.045409182,0.997483384
112546.08,0.522083971,5.5,139,1000,0.048279795,0.045817369,0.927729665
112606.12,0.553812417,5.5,139,1000,0.048415604,0.046623243,1.058335958
112666.16,0.563734502,5.5,139,1000,0.049318286,0.046648181,1.058335958
112726.21,0.501901148,5.5,139,1000,0.048814598,0.046507547,1.058335958
